Date,Observer,Group,Time,Actor ID,Actor fatness,Recipient ID,Recipient fatness,Behavior,Winner,Female present?,Notes,,,,Actor fatness,Recipient fatness,,Grade ,Winner,,Grade ,,Grade,# Observations,
7/26/23,Jilly,A,8:00,AM,2,AM,3,TH,Recipient,Y,,,,,2,3,,3,Recipient,,3,,,,
7/23/24,Bella,B,8:20,AM,3,AM2,1,TH,Actor,Y,,,,,3,1,,3,Actor,,3,,,,
7/13/23,Anita,A,9:10,AM,3,AM,3,TH,Actor,Y,AF14,,,,3,3,,3,Actor,,3,,,,
8/9/24,Bella,A,11:07,AM,3,AM5,3,TH,Actor,Y,,,,,3,3,,3,Actor,,3,,,,
8/5/23,Jilly,A,10:36,AM,1,AM,2,TH ,Recipient,Y,,,,,1,2,,2,Recipient,,2,,,,
7/18/23,Jilly,A,10:08,AM,3,AM,1,TH ,Actor,Y,,,,,3,1,,3,Actor,,3,,,,
7/19/23,Jilly,B,11:00,AM,3,AM,2,FT,Actor,Y ,AF9 was female,,,,3,2,,3,Actor,,3,,,,
8/5/23,Jilly,A,11:13,AM ,2,AM,3,CH,Actor,Y,,,,,2,3,,2,Actor,,2,,,,
8/10/23,Jilly,A,8:24,AM ,3,AM,2,CH,Actor,Y,,,,,3,2,,3,Actor,,3,,,,
8/9/23,Jilly,B,9:51,AM ,3,AM,3,CH,Recipient,Y,,,,,3,3,,3,Recipient,,3,,,,
8/7/23,Jilly,B,8:45,AM ,2,AM,2,FT,Actor,Y,,,,,2,2,,2,Actor,,2,,,,
8/10/23,Jilly,A,8:24,AM ,3,AM,2,FT,Actor,Y,,,,,3,2,,3,Actor,,3,,,,
8/10/23,Jilly,A,10:07,AM ,3,AM,3,FT,Actor,Y,,,,,3,3,,3,Actor,,3,,,,
8/9/23,Jilly,B,9:53,AM ,3,AM,3,FT,Recipient,Y,,,,,3,3,,3,Recipient,,3,,,,
8/9/23,Jilly,B,9:56,AM ,3,AM,3,FT,Recipient,Y,,,,,3,3,,3,Recipient,,3,,,,
7/29/24,Bella,A,12:30,AM ,3,AM5,3,TH,Actor,Y,,,,,3,3,,3,Actor,,3,,,,
7/29/24,Bella,A,11:33,AM and AM,3 and 2,AM,3,TH,Actor,Y,"actors - group X, recipient- group A",,,,,,,,,,,,,,
7/29/24,Landon,B,8:23,AM1 and AM9,3 and 3,AM,3,FT,Actor,U,"Happened right in front of me. AM1 and AM9 hungout afterwards, like the previously witnessed fight",,,,,,,,,,,,,,
8/7/24,Vanessa,A,8:35,AM3,2,AM and AM,3 and 3,AT,Actor,Y,"2 AM's, no collar grade 3 and 1 AF, no collar present",,,,2,3 and 3,,2,Actor,,2,,,,
8/6/24,Landon,A,10:39,AM3,2,AM,3,DP,Actor,U,,,,,2,3,,2,Actor,,2,,,,
8/6/24,Landon,A,10:39,AM3,2,AM,3,TH,Actor,U,,,,,2,3,,2,Actor,,2,,,,
7/19/24,Landon,A,11:12,AM3 and AM,2 and 3,AM,2,FT,Actor,Y,AM3 and AMNC left together. Perhaps AMNC was marcey,,,,,,,,,,,,,,
8/3/24,Landon,A,8:54,AM3 and AM,2 and 3,AM7,3,FT,Actor,Y,,,,,,,,,,,,,,,
8/1/24,Vanessa,A,10:47,AM3 and AM5,2 and 3,AM,U,FT,Actor,N,Recipient AM grade unknown,,,,,,,,,,,,,,
7/14/23,Jilly,A,9:46,AM5,3,AM,2,AT,Actor,N,,,,,3,2,,3,Actor,,3,,,,
7/17/23,Jilly,A,10:00,AM5,3,AM,1,CH,Actor,N,,,,,3,1,,3,Actor,,3,,,,
7/22/23,Anita,A,11:38,AM5,3,AM,2,CH,Actor,U,,,,,3,2,,3,Actor,,3,,,,
7/15/24,Landon,A,8:59,AM5,3,AM,2,FT,Actor,U,,,,,3,2,,3,Actor,,3,,,,
7/16/24,Landon,A,10:45,AM5,3,AM,2,FT,Recipient,U,"fight over food? Recipient had food, AM5 did not",,,,3,2,,2,Recipient,,2,,,,
7/11/24,Vanessa,A,10:35,AM5,3,AM,3,AT,Actor,Y,"Recipient AM has no collar, no holes (Marcey), AF19 present",,,,3,3,,3,Actor,,3,,,,
7/14/23,Anita,A,10:17,AM5,3,AM,2,CH,Actor,Y,Chased off two AM-2,,,,3,2,,3,Actor,,3,,,,
7/22/23,Anita,A,10:35,AM5,3,AM,2,CH,Actor,Y,,,,,3,2,,3,Actor,,3,,,,
7/17/23,Jilly,A,9:49,AM5,3,AM,2,CH,Actor,Y,,,,,3,2,,3,Actor,,3,,,,
8/10/24,Landon,A,9:43,AM5,3,AM3,2,CH,Actor,Y,,,,,3,2,,3,Actor,,3,,,,
8/6/24,Landon,A,10:23,AM5,2,AM,2,TH,Actor,Y,"Away from AF 14, then AM5 goes to AF21",,,,2,2,,2,Actor,,2,,,,
7/13/23,Anita,A,11:20,AM5,3,AM,2,TH,Actor,Y,,,,,3,2,,3,Actor,,3,,,,
7/17/23,Jilly,A,9:49,AM5,3,AM,2,TH,Actor,Y,,,,,3,2,,3,Actor,,3,,,,
8/10/24,Landon,A,9:40,AM5,3,AM3,2,TH,Actor,Y,,,,,3,2,,3,Actor,,3,,,,
8/10/24,Landon,A,9:43,AM5,3,AM3,2,TH,Actor,Y,,,,,3,2,,3,Actor,,3,,,,
8/10/24,Landon,A,9:43,AM5,3,AM3,2,TH,Actor,Y,,,,,3,2,,3,Actor,,3,,,,
7/14/23,Anita,A,11:05,AM5,3,AM,2,TH,Recipient,Y,AF14,,,,3,2,,2,Recipient,,2,,,,
7/20/24,Vanessa,B,10:59,AM6,3,AM2,1,AT,Actor,Y,"AM6 has no collar, with holes, AF5 present",,,,3,1,,3,Actor,,3,,,,
7/27/24,Vanessa,A,10:16,AM7,3,AM3,2,CH,Actor,N,,,,,3,2,,3,Actor,,3,,,,
7/23/24,Vanessa,A,11:41,AM8,2,AM,3,TH,Recipient,N,"AM, no collar, no holes (Marcey)",,,,2,3,,3,Recipient,,3,,,,
8/2/24,Vanessa,B,9:28,AM9,3,AM,3,CH,Actor,N,"AM, no collar, no holes ",,,,3,3,,3,Actor,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
N=93,,,,,,,,,,,,,,,,,,,,,,,,,
